City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,craon,47.8469,-0.9493,9.32,93,100,6.34,FR,1703811316
1,waitangi,-43.9535,-176.5597,14.66,77,100,10.19,NZ,1703811317
2,solnechnyy,50.7214,136.6319,-20.03,86,74,1.42,RU,1703811317
3,lazaro cardenas,17.9583,-102.2,23.91,75,0,2.97,MX,1703811317
4,grytviken,-54.2811,-36.5092,0.42,97,100,3.93,GS,1703811317
5,akrehamn,59.2667,5.1833,6.67,87,100,7.72,NO,1703811318
6,avarua,-21.2078,-159.775,27.03,69,40,5.66,CK,1703811318
7,kapa'a,22.0752,-159.319,26.99,93,100,4.63,US,1703811318
8,whitehorse,60.7161,-135.0538,-12.17,78,100,0.45,CA,1703811286
9,invercargill,-46.4,168.35,18.34,92,100,1.34,NZ,1703811319
10,port-vila,-17.7338,168.3219,29.78,74,75,7.2,VU,1703811319
11,dhidhdhoo,6.8833,73.1,28.34,78,100,7.6,MV,1703811319
12,port blair,11.6667,92.75,27.39,71,88,6.26,IN,1703811319
13,bredasdorp,-34.5322,20.0403,19.92,87,100,5.18,ZA,1703811320
14,santa maria da vitoria,-13.3947,-44.1886,25.22,72,100,1.52,BR,1703811144
15,port elizabeth,-33.918,25.5701,17.16,88,0,6.69,ZA,1703811320
16,edinburgh of the seven seas,-37.0676,-12.3116,15.72,77,60,5.71,SH,1703811320
17,igarka,67.4667,86.5833,-21.41,96,99,2.57,RU,1703811321
18,hasaki,35.7333,140.8333,10.5,50,0,3.5,JP,1703811321
19,longyearbyen,78.2186,15.6401,-1.09,74,75,4.12,SJ,1703811321
20,page,36.9147,-111.4558,4.83,46,11,1.34,US,1703811321
21,mandera,3.9366,41.867,28.6,59,100,5.2,KE,1703811321
22,yarmouth,41.7057,-70.2286,9.52,97,100,8.94,US,1703811195
23,puerto ayora,-0.7393,-90.3518,25.31,95,100,2.24,EC,1703811322
24,keflavik,64.0049,-22.5624,-2.05,96,100,4.15,IS,1703811322
25,adamstown,-25.066,-130.1015,22.71,82,19,8.55,PN,1703811322
26,tocopilla,-22.092,-70.1979,21.58,68,7,2.9,CL,1703811322
27,howard springs,-12.497,131.047,34.37,66,87,0.97,AU,1703811323
28,luwuk,-0.9516,122.7875,29.79,71,51,0.92,ID,1703811323
29,albany,42.6001,-73.9662,7.95,93,100,0.45,US,1703811166
30,taoudenni,22.6783,-3.9836,15.95,17,0,4.81,ML,1703811323
31,olonkinbyen,70.9221,-8.7187,-9.25,82,100,9.17,SJ,1703811324
32,blackmans bay,-43.0167,147.3167,17.51,50,91,3.84,AU,1703811324
33,tazovsky,67.4667,78.7,-14.84,96,99,4.51,RU,1703811324
34,ribeira brava,32.65,-17.0667,18.96,44,64,2.96,PT,1703811324
35,sarkand,45.41,79.9186,3.55,60,92,3.93,KZ,1703811324
36,ilulissat,69.2167,-51.1,-10.99,79,100,5.14,GL,1703811325
37,togur,58.3631,82.8265,-2.87,95,100,4.35,RU,1703811325
